head_of_duty,year,quantity_of_measure,volume
Tobacco Cigarettes,2014,thousands,3098756
Tobacco  Cigars,2014,kilograms,27479
Fine Cut Tobacco,2014,kilograms,384646
Tobacco Other,2014,kilograms,16860
MHLO Leaded Petrol ,2014,thousand litres,0
MHLO Unleaded Petrol,2014,thousand litres,1483192
MHLO SuperPlus Unleaded,2014,thousand litres,0
MHLO Aviation Gasoline,2014,thousand litres,967
Autodiesel,2014,thousand litres,2846887
Marked Gas Oil (MGO),2014,thousand litres,997528
Kerosene,2014,thousand litres,856821
Fuel Oil used in manufacture of Alumina,2014,thousand litres,38739
Residual Fuel Oils,2014,thousand litres,60466
Liquefied Petroleum Gas Other,2014,thousand litres,227116
Liquefied Petroleum Gas Auto ,2014,thousand litres,3587
Bookmaking Licences number issued,2014,Number Issued,380
Bookmaking Premises number issued,2014,Number Issued,1106
Beer Import,2013,litres of alcohol,6290184
Beer Home,2013,litres of alcohol,11799354
Cider and Perry Import,2013,litres   ,7761076
Cider and Perry Home,2013,litres   ,54376869
Spirits Import,2013,litres of alcohol,4681701
Spirits Home,2013,litres of alcohol,2599632
Wine up to 5.5 percent,2013,litres   ,4983515
Wine Still between 5.5 and 15 percent,2013,litres   ,72641646
Wine Still over 15 percent,2013,litres   ,778567
Wine Sparkling over 5.5 percent,2013,litres   ,1553609
Tobacco Cigarettes,2013,thousands,3230313
Tobacco  Cigars,2013,kilograms,31312
Fine Cut Tobacco,2013,kilograms,399316
Tobacco Other,2013,kilograms,18573
MHLO Leaded Petrol ,2013,thousand litres,0
MHLO Unleaded Petrol,2013,thousand litres,1568147
MHLO SuperPlus Unleaded,2013,thousand litres,0
MHLO Aviation Gasoline,2013,thousand litres,1142
Autodiesel,2013,thousand litres,2676358
Marked Gas Oil (MGO),2013,thousand litres,1101590
Kerosene,2013,thousand litres,906456
Fuel Oil used in manufacture of Alumina,2013,thousand litres,87895
Residual Fuel Oils,2013,thousand litres,69907
Liquefied Petroleum Gas Other,2013,thousand litres,225541
Liquefied Petroleum Gas Auto ,2013,thousand litres,2131
Bookmaking Licences number issued,2013,Number Issued,386
Bookmaking Premises number issued,2013,Number Issued,943
Beer Import,2012,litres of alcohol,6493160
Beer Home,2012,litres of alcohol,12789379
Cider and Perry Import,2012,litres   ,8685157
Cider and Perry Home,2012,litres   ,55077938
Spirits Import,2012,litres of alcohol,4772111
Spirits Home,2012,litres of alcohol,3489275
Wine up to 5.5 percent,2012,litres   ,5813690
Wine Still between 5.5 and 15 percent,2012,litres   ,79041007
Wine Still over 15 percent,2012,litres   ,977614
Wine Sparkling over 5.5 percent,2012,litres   ,1936322
Tobacco Cigarettes,2012,thousands,3790633
Tobacco  Cigars,2012,kilograms,32088
Fine Cut Tobacco,2012,kilograms,330756
Tobacco Other,2012,kilograms,20573
MHLO Leaded Petrol ,2012,thousand litres,0
MHLO Unleaded Petrol,2012,thousand litres,1667582
MHLO SuperPlus Unleaded,2012,thousand litres,0
MHLO Aviation Gasoline,2012,thousand litres,914
Autodiesel,2012,thousand litres,2548025
Marked Gas Oil (MGO),2012,thousand litres,1125849
Kerosene,2012,thousand litres,898044
Fuel Oil used in manufacture of Alumina,2012,thousand litres,86816
Residual Fuel Oils,2012,thousand litres,77292
Liquefied Petroleum Gas Other,2012,thousand litres,194518
Liquefied Petroleum Gas Auto ,2012,thousand litres,888
Bookmaking Licences number issued,2012,Number Issued,505
Bookmaking Premises number issued,2012,Number Issued,1147
Beer Import,2011,litres of alcohol,6615328
Beer Home,2011,litres of alcohol,13118142
Cider and Perry Import,2011,litres   ,9592272
Cider and Perry Home,2011,litres   ,56430161
Spirits Import,2011,litres of alcohol,4186492
Spirits Home,2011,litres of alcohol,3878255
Wine up to 5.5 percent,2011,litres   ,6349707
Wine Still between 5.5 and 15 percent,2011,litres   ,79645388
Wine Still over 15 percent,2011,litres   ,1190428
Wine Sparkling over 5.5 percent,2011,litres   ,2065378
Tobacco Cigarettes,2011,thousands,4153921
Tobacco  Cigars,2011,kilograms,36339
Fine Cut Tobacco,2011,kilograms,251748
Tobacco Other,2011,kilograms,21902
MHLO Leaded Petrol ,2011,thousand litres,0
MHLO Unleaded Petrol,2011,thousand litres,1829165
MHLO SuperPlus Unleaded,2011,thousand litres,0
MHLO Aviation Gasoline,2011,thousand litres,1071
Autodiesel,2011,thousand litres,2563433
Marked Gas Oil (MGO),2011,thousand litres,1154645
Kerosene,2011,thousand litres,1050790
Fuel Oil used in manufacture of Alumina,2011,thousand litres,149457
Residual Fuel Oils,2011,thousand litres,85264
Liquefied Petroleum Gas Other,2011,thousand litres,146889
Liquefied Petroleum Gas Auto ,2011,thousand litres,488
Bookmaking Licences number issued,2011,Number Issued,449
Bookmaking Premises number issued,2011,Number Issued,1054
Beer Import,2010,litres of alcohol,6727059
Beer Home,2010,litres of alcohol,13393439
Cider and Perry Import,2010,litres   ,9751340
Cider and Perry Home,2010,litres   ,56609893
Spirits Import,2010,litres of alcohol,3931830
Spirits Home,2010,litres of alcohol,3886608
Wine up to 5.5 percent,2010,litres   ,6400468
Wine Still between 5.5 and 15 percent,2010,litres   ,77824702
Wine Still over 15 percent,2010,litres   ,1160619
Wine Sparkling over 5.5 percent,2010,litres   ,2022761
Tobacco Cigarettes,2010,thousands,4127989
Tobacco  Cigars,2010,kilograms,37786
Fine Cut Tobacco,2010,kilograms,215773
Tobacco Other,2010,kilograms,37251
MHLO Leaded Petrol ,2010,thousand litres,0
MHLO Unleaded Petrol,2010,thousand litres,1930180
MHLO SuperPlus Unleaded,2010,thousand litres,0
MHLO Aviation Gasoline,2010,thousand litres,1196
Autodiesel,2010,thousand litres,2559664
Marked Gas Oil (MGO),2010,thousand litres,1225893
Kerosene,2010,thousand litres,1329439
Fuel Oil used in manufacture of Alumina,2010,thousand litres,223763
Residual Fuel Oils,2010,thousand litres,130104
Liquefied Petroleum Gas Other,2010,thousand litres,165192
Liquefied Petroleum Gas Auto ,2010,thousand litres,457
