commodity_and_head_of_duty,year , net_receipts_ 
Carbon Natural Gas,2016,55817046
Carbon Solid Fuel,2016,24432254
Electricity Tax,2016,4616490
Vehicle Registration Tax,2016,814213075
Excise Duty on Premises or Activities - Traditional Betting Duty,2016,28126271
Excise Duty on Premises or Activities - Remote Betting Duty,2016,20749097
Excise Duty on Premises or Activities - Betting Commissions Duty,2016,1869886
Excise Duty on Premises or Activities - Bookmakers Licences,2016,77250
Excise Duty on Premises or Activities - Bookmaking Premises,2016,610920
Excise Duty on Premises or Activities - Remote Betting Intermediary's,2016,45000
Excise Duty on Premises or Activities - Remote Bookmaker's,2016,215000
Excise Duty on Premises or Activities - Clubs,2016,280590
Excise Duty on Premises or Activities - Public Dancing Licences,2016,4654560
Excise Duty on Premises or Activities - Licences,2016,16317746
Excise Duty on Premises or Activities - An Post,2016,4483
Alcohols Beer - Import,2015,144496645
Alcohols Beer - Home,2015,272783937
Alcohols Cider and Perry - Import,2015,7780525
Alcohols Cider and Perry - Home,2015,45984160
Alcohols Spirits - Import,2015,200094529
Alcohols Spirits - Home,2015,110932467
Alcohols Wine,2015,336660477
Alcohols Made Wine,2015,17972439
Tobacco Cigarettes,2015,937567748
Tobacco Cigars /Fine Cut / Other Smoking,2015,144723747
Mineral Hydrocarbon Light Oils - Import ,2015,600130966
Mineral Hydrocarbon Light Oils - Home ,2015,168259558
Hydrocarbon Heavy Oils  - AutoDiesel,2015,1307540037
Hydrocarbon Heavy Oils - Marked Gas Oil,2015,37280660
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2015,896831
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2015,274709
Carbon Auto Diesel,2015,158138910
Carbon Petrol,2015,62311873
Carbon Aviation Gasoline,2015,45178
Carbon Kerosene,2015,52826340
Carbon Marked Gas Oil,2015,55046934
Carbon Fuel Oil,2015,1998130
Carbon Other LPG,2015,8402454
Carbon Auto LPG,2015,142447
Carbon Natural Gas,2015,56568072
Carbon Solid Fuel,2015,23495895
Electricity Tax,2015,4486734
Vehicle Registration Tax,2015,649588221
Excise Duty on Premises or Activities - Traditional Betting Duty,2015,27744245
Excise Duty on Premises or Activities - Remote Betting Duty,2015,3003066
Excise Duty on Premises or Activities - Betting Commissions Duty,2015,316452
Excise Duty on Premises or Activities - Bookmakers Licences,2015,90500
Excise Duty on Premises or Activities - Bookmaking Premises,2015,118560
Excise Duty on Premises or Activities - Remote Betting Intermediary's,2015,75000
Excise Duty on Premises or Activities - Remote Bookmaker's,2015,290000
Excise Duty on Premises or Activities - Clubs,2015,232500
Excise Duty on Premises or Activities - Public Dancing Licences,2015,4800430
Excise Duty on Premises or Activities - Licences,2015,15358874
Excise Duty on Premises or Activities - An Post,2015,5265
Excise Duty on Premises or Activities - Air Travel Tax,2015,13009
Alcohols Beer - Import,2014,156305365
Alcohols Beer - Home,2014,268550825
Alcohols Cider and Perry - Import,2014,7632075
Alcohols Cider and Perry - Home,2014,50908354
Alcohols Spirits - Import,2014,193749238
Alcohols Spirits - Home,2014,108017068
Alcohols Wine,2014,339532753
Alcohols Made Wine,2014,15088725
Tobacco Cigarettes,2014,881330716
Tobacco Cigars /Fine Cut / Other Smoking,2014,102261986
Mineral Hydrocarbon Light Oils - Import ,2014,620380499
Mineral Hydrocarbon Light Oils - Home ,2014,179205881
Hydrocarbon Heavy Oils  - AutoDiesel,2014,1181615593
Hydrocarbon Heavy Oils - Marked Gas Oil,2014,35959634
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2014,998099
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2014,228097
Carbon Auto Diesel,2014,144863293
Carbon Petrol,2014,65692064
Carbon Aviation Gasoline,2014,20653
Carbon Kerosene,2014,42278257
Carbon Marked Gas Oil,2014,54173402
Carbon Fuel Oil,2014,1775642
Carbon Other LPG,2014,7530822
Carbon Auto LPG,2014,113611
Carbon Natural Gas,2014,51679528
Carbon Solid Fuel,2014,17234613
Electricity Tax,2014,5526915
Vehicle Registration Tax,2014,542099431
Excise Duty on Premises or Activities - Traditional Betting Duty,2014,26162214
Excise Duty on Premises or Activities - Bookmakers Licences,2014,95000
Excise Duty on Premises or Activities - Bookmaking Premises,2014,420280
Excise Duty on Premises or Activities - Clubs,2014,251230
Excise Duty on Premises or Activities - Public Dancing Licences,2014,4899090
Excise Duty on Premises or Activities - Licences,2014,15315336
Excise Duty on Premises or Activities - An Post,2014,4841
Excise Duty on Premises or Activities - Air Travel Tax,2014,9869771
Alcohols Beer - Import,2013,125710237
Alcohols Beer - Home,2013,232295765
Alcohols Cider and Perry - Import,2013,6431952
Alcohols Cider and Perry - Home,2013,45184064
Alcohols Spirits - Import,2013,181902842
Alcohols Spirits - Home,2013,108396507
Alcohols Wine,2013,289011845
Alcohols Made Wine,2013,13082062
Tobacco Cigarettes,2013,955191095
Tobacco Cigars /Fine Cut / Other Smoking,2013,108703371
Mineral Hydrocarbon Light Oils - Import ,2013,657452557
Mineral Hydrocarbon Light Oils - Home ,2013,192850864
Hydrocarbon Heavy Oils  - AutoDiesel,2013,1133543575
Hydrocarbon Heavy Oils - Marked Gas Oil,2013,42465717
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2013,1086677
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2013,136035
Carbon Auto Diesel,2013,137234689
Carbon Petrol,2013,69593279
Carbon Aviation Gasoline,2013,26253
Carbon Kerosene,2013,47318835
Carbon Marked Gas Oil,2013,60390958
Carbon Fuel Oil,2013,2308467
Carbon Other LPG,2013,7577986
Carbon Auto LPG,2013,68731
Carbon Natural Gas,2013,56541823
Carbon Solid Fuel,2013,7315971
Electricity Tax,2013,6318082
Vehicle Registration Tax,2013,437308610
Excise Duty on Premises or Activities - Traditional Betting Duty,2013,25421396
Excise Duty on Premises or Activities - Bookmakers Licences,2013,96500
Excise Duty on Premises or Activities - Bookmaking Premises,2013,358340
Excise Duty on Premises or Activities - Clubs,2013,252505
Excise Duty on Premises or Activities - Public Dancing Licences,2013,5247495
Excise Duty on Premises or Activities - Licences,2013,14999740
Excise Duty on Premises or Activities - An Post,2013,3808
Excise Duty on Premises or Activities - Air Travel Tax,2013,34909146
Alcohols Beer - Import,2012,103909225
Alcohols Beer - Home,2012,204094346
Alcohols Cider and Perry - Import,2012,5895831
Alcohols Cider and Perry - Home,2012,36858873
Alcohols Spirits - Import,2012,149209929
Alcohols Spirits - Home,2012,114643818
Alcohols Wine,2012,219788673
Alcohols Made Wine,2012,11656176
Tobacco Cigarettes,2012,989581642
Tobacco Cigars /Fine Cut / Other Smoking,2012,82683860
Mineral Hydrocarbon Light Oils - Import ,2012,675289372
Mineral Hydrocarbon Light Oils - Home ,2012,228777415
Hydrocarbon Heavy Oils  - AutoDiesel,2012,1071436081
Hydrocarbon Heavy Oils - Marked Gas Oil,2012,43534389
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2012,1195440
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2012,56450
Carbon Auto Diesel,2012,130778847
Carbon Petrol,2012,74622264
